reaction_id,parent_post_id,club,reaction_type,clean_text,official_text,official_created_at,official_like_count,official_reply_count,official_quote_count,like_count,reply_count,retweet_count,quote_count,relevancia,tema,emocao,polaridade,intencao,confianca_modelo,justificativa_curta,validado_manual,rotulo_corrigido,observacoes
8105f42cfad58c93,2067261004287799628,Sao Paulo,QUOTE,400 REAIS VAI SE FUDE https://t.co/WFBIczTeHG https://t.co/YFkTnuFY6n,"Estilo streetwear com a essência do Tricolor. 🔴⚪⚫ A nova Camisa Manga Longa São Paulo New Balance traz conforto, atitude e um visual marcante pra quem vive o SPFC em qualquer ocasião. 🔥 Garanta já a sua na SAO Store. 🛒 https://t.co/B5L6UKbU8u https://t.co/TE6d8Q4DMi",2026-06-17T15:00:05.000Z,157,0,1,0,2,0,0,RELEVANTE,PRODUTO_OFICIAL,RAIVA,NEGATIVO,CRITICA,,Critica o preco do produto oficial divulgado pelo clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
94b6a56826c71ce9,2067291309803503921,Sao Paulo,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq","Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",2026-06-17T17:00:31.000Z,70,1,3,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,ESPERANCA,MISTO,COBRANCA,,Cobra vitoria da base por haver jogadores com experiencia no profissional.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
a8b7ed4e140d91f8,2067291309803503921,Sao Paulo,QUOTE,Nicolas voltou da viagem até a Copa e será titular. Isac no banco. https://t.co/Frr3dWRNub,"Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",2026-06-17T17:00:31.000Z,70,1,3,4,0,0,0,RELEVANTE,ELENCO,NEUTRO,NEUTRO,INFORMACAO,,Informa mudancas de jogadores na escalacao.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
2aabaaa64cd5536e,2067298821130858794,Sao Paulo,QUOTE,"Inacreditável, com mais um jogo em Cotia, novamente o São Paulo não transmite o confronto. E o pior que o clube não faz nem questão de explicar a razão pela qual não transmite o confronto. https://t.co/kN589ZZOQB","Brasileiro Sub-17: Tricolor escalado para enfrentar o Fluminense, às 15h, no CFA Laudo Natel, em São Paulo (SP)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/NR5QVPNdhF",2026-06-17T17:30:22.000Z,41,2,1,11,4,1,0,RELEVANTE,COMUNICACAO_DO_CLUBE,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a falta de transmissao e explicacao do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
41ced19eed799552,2067306869010444494,Sao Paulo,REPLY,@SaoPauloFC Transmissão?,Brasileiro Sub-20: Bola rolando! #JUVxSPFC #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/vvTRnqRkSi,2026-06-17T18:02:20.000Z,56,2,0,1,1,0,0,RELEVANTE,COMUNICACAO_DO_CLUBE,NEUTRO,NEUTRO,PERGUNTA,,Pergunta diretamente sobre transmissao da partida.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
43a76c2fd290cacd,2067335082092708037,Sao Paulo,QUOTE,já já o menta desce pro sub-15 e aí vai poder pedir música no fantástico pq fodeu com 3 categorias diferentes 🤩 homem desgraçado e clube falido https://t.co/yTeCgRIIVI,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,2026-06-17T19:54:27.000Z,32,6,3,0,0,0,0,RELEVANTE,TECNICO,RAIVA,NEGATIVO,CRITICA,,Critica o tecnico e o impacto nas categorias de base.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
e79f7b3f1353d8d4,2067335082092708037,Sao Paulo,QUOTE,Que bom! https://t.co/3WzKDXFmH2,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,2026-06-17T19:54:27.000Z,32,6,3,2,1,0,0,POUCO_INFORMATIVO,OUTRO,IRONIA,MISTO,MEME_PIADA,,Comentario curto e ironico sobre o resultado.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
14d9e4415c8bda7e,2067338406628090101,Sao Paulo,QUOTE,Surreal. Com todos os profissionais e mesmo assim não vence. https://t.co/M1lv2aIQpp,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a derrota mesmo com jogadores do profissional.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
9c606c66fb5ad832,2067338406628090101,Sao Paulo,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,3,1,0,0,RELEVANTE,COMUNICACAO_DO_CLUBE,IRONIA,NEGATIVO,CRITICA,,Questiona de forma ironica a comunicacao apos a derrota.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
abd8ac459484500a,2067338406628090101,Sao Paulo,QUOTE,"E assim Cotia vai sendo destruída aos poucos. Com gestões danosas ao clube, além de trazer técnicos com trabalhos muito duvidosos, o São Paulo perde para o lanterna do Brasileirão Sub 20, Juventude, por 1 a 0. https://t.co/zhN8rZqrLu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,12,0,4,0,RELEVANTE,CATEGORIA_BASE,RAIVA,NEGATIVO,CRITICA,,Relaciona a situacao de Cotia/base a gestoes danosas do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
205deac3e67647f4,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC o SP conseguiu perder com 8 jogadores que integram o elenco profissional do clube que trabalho fantastico,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,IRONIA,NEGATIVO,CRITICA,,Critica sarcasticamente a derrota com jogadores profissionais.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
9d812f849c805229,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC Misericórdia até aí estamos sofrendo ..... #ForaJulioBatista,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,1,0,0,0,RELEVANTE,TECNICO,FRUSTRACAO,NEGATIVO,COBRANCA,,Expressa sofrimento e cobra saida do treinador.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
d4a031d62491855d,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC Os dirigentes estão acabando com tudo mesmo.,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,0,0,0,0,RELEVANTE,DIRETORIA,RAIVA,NEGATIVO,CRITICA,,Critica dirigentes pela situacao do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
f07bf7cb84585790,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC Alguém salva a base do SP,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,0,0,0,0,RELEVANTE,CATEGORIA_BASE,FRUSTRACAO,NEGATIVO,COBRANCA,,Pede que alguem salve a categoria de base do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
f75e1b7e1cfaa495,2067338406628090101,Sao Paulo,REPLY,"@SaoPauloFC Meu Deus, perdemos em casa, fora de casa, qualquer adversário. Que dureza..é Sub tudo, só derrota.",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,1,0,0,0,RELEVANTE,CATEGORIA_BASE,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a sequencia de derrotas nas categorias de base.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
41d7d5276e73ed44,2067359047389487371,Sao Paulo,QUOTE,ooh nojeira https://t.co/2mqcfEOsB9,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,POUCO_INFORMATIVO,ELENCO,RAIVA,NEGATIVO,CRITICA,,Reacao curta de rejeicao ao retorno do elenco.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
4d4e4d68d36c3d1b,2067359047389487371,Sao Paulo,QUOTE,Os bagres voltaram https://t.co/OuG4vjvfyN,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,RELEVANTE,ELENCO,IRONIA,NEGATIVO,PROVOCACAO,,Usa provocacao depreciativa para criticar jogadores.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
6ff6971602527469,2067359047389487371,Sao Paulo,QUOTE,imagina a maldição que não foi esse treino https://t.co/NQV2e04ayt,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,5,0,0,0,RELEVANTE,ELENCO,IRONIA,NEGATIVO,MEME_PIADA,,Faz piada negativa sobre o treino e o elenco.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
b44d57b0edd16647,2067359047389487371,Sao Paulo,QUOTE,MELHOR NÃO https://t.co/w16yM6NaSy,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,POUCO_INFORMATIVO,OUTRO,FRUSTRACAO,NEGATIVO,CRITICA,,Reacao curta de rejeicao ao conteudo do post.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
c4331e3e53897974,2067359047389487371,Sao Paulo,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,1,0,0,0,POUCO_INFORMATIVO,OUTRO,DESCONFIANCA,NEGATIVO,COBRANCA,,Indica cobranca ou lembranca negativa sem detalhar o contexto.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
d2e65593c02c294a,2067359047389487371,Sao Paulo,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,POUCO_INFORMATIVO,OUTRO,NEUTRO,NEUTRO,OUTRO,,Comentario curto dizendo que esta focado na Copa.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
0c603ef2d22dd120,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Ninguém liga pra esse timeco,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,RELEVANTE,RIVALIDADE,RAIVA,NEGATIVO,PROVOCACAO,,Desqualifica o time em tom provocativo.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
68cb447542e494b2,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Nossos Guerreiros! 😫🥱,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,RELEVANTE,ELENCO,IRONIA,NEGATIVO,MEME_PIADA,,Usa ironia para reagir negativamente ao elenco.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
6bfc8afc0dde956e,2067359047389487371,Sao Paulo,REPLY,"@SaoPauloFC Meu sono melhorou, cabelo estava bom, pele mais leve fora o mental, era totalmente outro até ver esse Tweet. Terei que voltar a tomar paroxetina",Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,IRONIA,NEGATIVO,MEME_PIADA,,Faz humor negativo sobre o impacto de ver o time novamente.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
7fb5ad44f36b2247,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC 😥😥,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,POUCO_INFORMATIVO,OUTRO,FRUSTRACAO,NEGATIVO,OUTRO,,Reacao baseada apenas em emojis de tristeza.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
80dbb51bd9a7553c,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Não precisa de descanso e nem de treinamento porque esse time não faz nada mesmo.,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,2026-06-17T21:29:41.000Z,567,39,8,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a utilidade do descanso e treino do time.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
04f0bd72e12726cb,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Rui Costa já foi demitido? Já espancaram o Olten a caminho da barra funda pra servir de exemplo? Quantos ratos ainda estão vivos?,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,2026-06-17T23:08:20.000Z,367,12,1,1,0,0,0,RELEVANTE,DIRETORIA,RAIVA,NEGATIVO,COBRANCA,,Cobra demissoes e mudancas na gestao com linguagem agressiva.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
2935259613b40931,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Cadê as contratações porra e tem que mandar meio time pra rua,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,2026-06-17T23:08:20.000Z,367,12,1,0,0,0,0,RELEVANTE,CONTRATACAO,RAIVA,NEGATIVO,COBRANCA,,Cobra contratacoes e dispensas no elenco.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
35d587abe951df47,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Ninguém aguenta mais esse clube.,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,2026-06-17T23:08:20.000Z,367,12,1,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,,Expressa cansaco com a situacao do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
4e45a77d1086b8b7,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Estou tão feliz vendo a copa. Não acredito que eu vou ter que assistir de novo esse time,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,2026-06-17T23:08:20.000Z,367,12,1,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,,Compara alivio da Copa com frustracao de voltar a assistir o time.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.

